0,1,2,3,4,5,6,7,8
SKU,Nombre Producto,Vendidos Periodo,Inventario Periodo,Inventario Periodo Anterior,Rotacion Periodo,Semana Actual,Tienda,Pedido Actual
100M18S14CMEMMM,TSHIRT CHILL CALYPSO MEL M,0,,,No Hay info,13,TRAPENSES,
100M18W01GRAXL0,TSHIRT MINI LOGO GRAPHITE XL,1,1,2,1.0,13,TRAPENSES,1
100M18W01GRAXS0,TSHIRT MINI LOGO GRAPHITE XS,0,4,4,0.0,13,TRAPENSES,1
100M18W01GRAXXL,TSHIRT MINI LOGO GRAPHITE XXL,2,2,4,0.6666666666666666,13,TRAPENSES,2
100M18W01WHIMMM,TSHIRT MINI LOGO WHITE M,1,2,3,0.5,13,TRAPENSES,1
100M18W02WHIXL0,TSHIRT YETI WHITE XL,2,2,4,0.6666666666666666,13,TRAPENSES,2
100M18W03LBLLLL,TSHIRT POW LIGHT BLUE L,2,2,4,0.6666666666666666,13,TRAPENSES,2
100M18W03LBLXS0,TSHIRT POW LIGHT BLUE XS,1,4,5,0.25,13,TRAPENSES,1
100M18W03LBLXXL,TSHIRT POW LIGHT BLUE XXL,1,3,4,0.3333333333333333,13,TRAPENSES,1
100M18W07LBLLLL,TSHIRT POWAH LIGHT BLUE L,1,1,2,1.0,13,TRAPENSES,1
100M18W07LBLXL0,TSHIRT POWAH LIGHT BLUE XL,1,3,4,0.3333333333333333,13,TRAPENSES,1
100M18W08WHIXL0,TSHIRT SKANKIN WHITE XL,1,3,4,0.3333333333333333,13,TRAPENSES,1
100M18W09CRELLL,TSHIRT LINED CREAM L,2,,2,No Hay info,13,TRAPENSES,
100M18W09CREMMM,TSHIRT LINED CREAM M,4,,4,No Hay info,13,TRAPENSES,
100M18W10BLALLL,TSHIRT LANDED BLACK L,0,4,4,0.0,13,TRAPENSES,1
100M18W11WHILLL,TSHIRT BATTLE WHITE L,1,3,4,0.3333333333333333,13,TRAPENSES,1
100M18W11WHIXL0,TSHIRT BATTLE WHITE XL,2,2,4,0.6666666666666666,13,TRAPENSES,2
100M18W12GRALLL,TSHIRT SENSI GRAPHITE L,1,4,5,0.25,13,TRAPENSES,1
100M18W12GRAXL0,TSHIRT SENSI GRAPHITE XL,2,1,3,1.0,13,TRAPENSES,2
100M18W12GRAXS0,TSHIRT SENSI GRAPHITE XS,1,4,5,0.25,13,TRAPENSES,1
100M18W13BLALLL,TSHIRT DAZED BLACK L,2,2,4,0.6666666666666666,13,TRAPENSES,2
100M18W13BLASSS,TSHIRT DAZED BLACK S,1,2,3,0.5,13,TRAPENSES,1
100M18W13BLAXS0,TSHIRT DAZED BLACK XS,1,3,4,0.3333333333333333,13,TRAPENSES,1
100M18W13BLAXXL,TSHIRT DAZED BLACK XXL,1,3,4,0.3333333333333333,13,TRAPENSES,1
100M18W14GRALLL,TSHIRT LOOP GRAPHITE L,3,1,4,1.5,13,TRAPENSES,6
100M18W14PURLLL,TSHIRT LOOP PURPLE L,1,3,4,0.3333333333333333,13,TRAPENSES,1
100M18W17GRMXXL,TSHIRT HEALER GREY MEL XXL,1,3,4,0.3333333333333333,13,TRAPENSES,1
100M18W18WHIXL0,TSHIRT BRAP WHITE XL,1,3,4,0.3333333333333333,13,TRAPENSES,1
100M18W18WHIXS0,TSHIRT BRAP WHITE XS,1,3,4,0.3333333333333333,13,TRAPENSES,1
